TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Month,MonthName,Year,DayOfWeek,DaysSinceLastTxn,BalanceUtilisationPct,AmountPerMinute,IsAnomaly,IsHighRisk
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,ATM,26,Student,123,1,189.69,2024-11-04 08:07:06,11,Nov,2023,Monday,350,412.13,6.36,0,0
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,Online,18,Student,134,1,299.93,2024-11-04 08:10:09,2,Feb,2023,Monday,630,55.68,1.25,0,0
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,ATM,36,Engineer,129,1,3465.54,2024-11-04 08:12:19,12,Dec,2023,Tuesday,328,13.43,3.61,0,0
TX000017,AC00317,555.8,2023-10-30 16:52:49,Credit,Austin,Branch,19,Student,158,1,1131.26,2024-11-04 08:07:35,10,Oct,2023,Monday,371,49.13,3.52,0,0
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,Online,39,Engineer,234,1,5109.97,2024-11-04 08:11:51,12,Dec,2023,Thursday,326,9.65,2.11,0,0
TX000019,AC00242,18.68,2023-02-21 16:56:50,Credit,Albuquerque,Branch,59,Retired,106,1,7948.37,2024-11-04 08:12:01,2,Feb,2023,Tuesday,622,0.24,0.18,0,0
TX000020,AC00285,71.48,2023-06-08 18:18:50,Credit,Columbus,Online,18,Student,169,1,6568.59,2024-11-04 08:09:20,6,Jun,2023,Thursday,515,1.09,0.42,0,0
TX000021,AC00002,59.32,2023-02-28 16:36:58,Debit,Los Angeles,Branch,71,Retired,38,1,5750.89,2024-11-04 08:09:24,2,Feb,2023,Tuesday,615,1.03,1.56,0,0
TX000022,AC00014,85.77,2023-08-11 18:31:31,Debit,Las Vegas,Branch,38,Doctor,93,1,9146.19,2024-11-04 08:08:13,8,Aug,2023,Friday,451,0.94,0.92,0,0
TX000023,AC00095,52.2,2023-06-06 18:54:15,Debit,Atlanta,Online,39,Engineer,120,1,8974.93,2024-11-04 08:07:01,6,Jun,2023,Tuesday,517,0.58,0.44,0,0
TX000024,AC00453,345.84,2023-05-02 18:25:46,Debit,Fort Worth,Online,22,Student,142,3,1402.5,2024-11-04 08:07:04,5,May,2023,Tuesday,552,24.66,2.44,0,0
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,Online,21,Student,96,1,1930.96,2024-11-04 08:07:09,3,Mar,2023,Thursday,613,7.54,1.52,0,0
TX000026,AC00041,7.49,2023-10-20 17:53:13,Credit,Houston,Online,65,Retired,276,1,3634.67,2024-11-04 08:09:44,10,Oct,2023,Friday,381,0.21,0.03,0,0
TX000027,AC00441,246.93,2023-04-17 16:37:01,Debit,Miami,ATM,23,Student,158,5,673.35,2024-11-04 08:11:38,4,Apr,2023,Monday,567,36.67,1.56,0,0
TX000028,AC00057,40.32,2023-03-29 16:42:38,Debit,Milwaukee,Branch,37,Engineer,95,1,2686.52,2024-11-04 08:11:59,3,Mar,2023,Wednesday,586,1.5,0.42,0,0
TX000029,AC00390,127.45,2023-01-24 16:18:32,Debit,Las Vegas,Online,44,Doctor,197,1,1772.06,2024-11-04 08:11:22,1,Jan,2023,Tuesday,650,7.19,0.65,0,0
TX000030,AC00313,56.17,2023-09-20 16:55:42,Debit,Detroit,Branch,27,Student,283,1,1351.69,2024-11-04 08:08:30,9,Sep,2023,Wednesday,411,4.16,0.2,0,0
TX000031,AC00367,28.31,2023-07-17 17:49:22,Credit,Miami,Online,59,Doctor,20,1,8334.47,2024-11-04 08:09:17,7,Jul,2023,Monday,476,0.34,1.42,0,0
TX000032,AC00291,59.12,2023-02-06 16:24:24,Debit,Baltimore,ATM,29,Doctor,257,1,9823.64,2024-11-04 08:06:58,2,Feb,2023,Monday,637,0.6,0.23,0,0
TX000033,AC00060,396.45,2023-09-25 16:26:00,Debit,New York,ATM,49,Engineer,168,3,9690.15,2024-11-04 08:11:13,9,Sep,2023,Monday,406,4.09,2.36,0,0
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,Online,22,Student,150,1,399.0,2024-11-04 08:07:50,3,Mar,2023,Monday,602,220.0,5.85,0,0
TX000035,AC00365,255.26,2023-10-27 16:42:49,Credit,San Francisco,Branch,45,Doctor,50,1,14815.87,2024-11-04 08:10:51,10,Oct,2023,Friday,374,1.72,5.11,0,0
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,Branch,49,Engineer,45,1,5764.72,2024-11-04 08:06:23,10,Oct,2023,Monday,385,2.16,2.77,0,0
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,Branch,26,Student,145,1,900.61,2024-11-04 08:12:18,11,Nov,2023,Tuesday,349,8.68,0.54,0,0
TX000038,AC00202,649.28,2023-03-02 17:53:32,Debit,San Jose,ATM,75,Retired,137,1,4875.86,2024-11-04 08:11:15,3,Mar,2023,Thursday,613,13.32,4.74,0,0
TX000039,AC00478,795.31,2023-10-12 17:07:40,Debit,Mesa,ATM,66,Doctor,90,2,7914.88,2024-11-04 08:11:17,10,Oct,2023,Thursday,389,10.05,8.84,0,0
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,Online,55,Retired,216,1,1019.39,2024-11-04 08:07:32,1,Jan,2023,Tuesday,650,32.92,1.55,0,0
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,ATM,63,Retired,119,1,4323.66,2024-11-04 08:07:31,7,Jul,2023,Monday,462,7.6,2.76,0,0
TX000042,AC00480,34.02,2023-01-09 16:13:21,Debit,Philadelphia,Online,38,Doctor,19,1,14214.48,2024-11-04 08:11:45,1,Jan,2023,Monday,665,0.24,1.79,0,0
TX000043,AC00120,241.42,2023-04-20 18:57:43,Credit,Charlotte,Online,57,Doctor,116,1,13357.02,2024-11-04 08:09:03,4,Apr,2023,Thursday,564,1.81,2.08,0,0
TX000044,AC00117,55.32,2023-04-12 16:03:37,Debit,Tucson,ATM,19,Student,117,1,241.79,2024-11-04 08:08:03,4,Apr,2023,Wednesday,572,22.88,0.47,0,0
TX000045,AC00011,304.31,2023-07-26 16:52:28,Debit,Louisville,Branch,27,Student,33,1,868.61,2024-11-04 08:09:53,7,Jul,2023,Wednesday,467,35.03,9.22,0,0
TX000046,AC00401,435.27,2023-10-04 17:49:29,Debit,Chicago,Branch,74,Retired,90,1,4673.28,2024-11-04 08:11:12,10,Oct,2023,Wednesday,397,9.31,4.84,0,0
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,Branch,26,Student,75,1,1509.27,2024-11-04 08:10:33,12,Dec,2023,Wednesday,327,10.9,2.19,0,0
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,Online,19,Student,105,1,781.7,2024-11-04 08:11:35,10,Oct,2023,Monday,392,65.27,4.86,0,0
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,Online,26,Student,138,1,265.51,2024-11-04 08:07:24,11,Nov,2023,Monday,343,236.11,4.54,0,0
TX000050,AC00471,22.01,2023-03-27 16:45:18,Credit,Sacramento,Online,41,Engineer,175,1,1335.09,2024-11-04 08:06:31,3,Mar,2023,Monday,588,1.65,0.13,0,0
TX000051,AC00159,425.34,2023-02-13 16:59:39,Credit,Kansas City,Online,69,Retired,121,1,3907.54,2024-11-04 08:07:07,2,Feb,2023,Monday,630,10.89,3.52,0,0
TX000052,AC00482,424.56,2023-02-21 17:45:55,Debit,Omaha,Online,51,Engineer,264,1,5183.85,2024-11-04 08:09:02,2,Feb,2023,Tuesday,622,8.19,1.61,0,0
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,Branch,67,Doctor,145,1,14904.9,2024-11-04 08:06:45,6,Jun,2023,Wednesday,516,0.57,0.59,0,0
TX000054,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,Branch,28,Student,142,1,918.88,2024-11-04 08:08:58,9,Sep,2023,Thursday,424,18.45,1.19,0,0
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,ATM,62,Retired,90,1,4477.78,2024-11-04 08:10:42,3,Mar,2023,Wednesday,586,2.34,1.16,0,0
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,Branch,25,Student,83,1,1324.03,2024-11-04 08:09:15,8,Aug,2023,Friday,458,23.94,3.82,0,0
TX000057,AC00271,60.54,2023-12-14 17:52:37,Credit,Columbus,Branch,57,Retired,52,1,3534.93,2024-11-04 08:09:57,12,Dec,2023,Thursday,326,1.71,1.16,0,0
TX000058,AC00456,292.56,2023-03-03 17:37:41,Credit,Dallas,Branch,68,Retired,61,1,4638.37,2024-11-04 08:07:49,3,Mar,2023,Friday,612,6.31,4.8,0,0
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,Branch,48,Engineer,28,1,5630.61,2024-11-04 08:07:09,6,Jun,2023,Friday,514,6.86,13.8,0,0
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,Branch,23,Student,51,1,930.3,2024-11-04 08:11:37,10,Oct,2023,Monday,399,12.05,2.2,0,0
TX000061,AC00438,568.52,2023-10-06 18:44:37,Debit,Indianapolis,ATM,46,Engineer,152,1,5499.91,2024-11-04 08:06:25,10,Oct,2023,Friday,395,10.34,3.74,0,0
TX000062,AC00002,263.99,2023-05-16 16:07:30,Debit,Dallas,Branch,79,Retired,227,2,4175.02,2024-11-04 08:11:03,5,May,2023,Tuesday,538,6.32,1.16,0,0
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,Online,48,Engineer,226,1,6651.62,2024-11-04 08:08:09,11,Nov,2023,Tuesday,363,5.26,1.55,0,0
TX000064,AC00325,601.4,2023-05-30 17:43:25,Credit,Philadelphia,Branch,56,Engineer,104,1,8458.29,2024-11-04 08:08:01,5,May,2023,Tuesday,524,7.11,5.78,0,0
TX000065,AC00434,5.77,2023-11-02 16:01:40,Debit,Charlotte,Online,50,Doctor,124,1,13988.12,2024-11-04 08:11:32,11,Nov,2023,Thursday,368,0.04,0.05,0,0
TX000066,AC00242,201.33,2023-03-29 17:00:31,Credit,Nashville,Branch,42,Engineer,186,1,2585.07,2024-11-04 08:11:41,3,Mar,2023,Wednesday,586,7.79,1.08,0,0
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,Branch,56,Retired,225,1,3014.75,2024-11-04 08:10:12,4,Apr,2023,Tuesday,559,9.9,1.33,0,0
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,Branch,25,Student,128,1,1951.42,2024-11-04 08:12:10,4,Apr,2023,Tuesday,566,26.7,4.07,0,0
TX000069,AC00461,117.28,2023-02-09 16:34:53,Credit,Austin,Online,60,Engineer,16,1,3665.77,2024-11-04 08:07:11,2,Feb,2023,Thursday,634,3.2,7.33,0,0
TX000070,AC00395,189.12,2023-11-13 16:42:28,Credit,Indianapolis,Branch,32,Engineer,103,1,977.01,2024-11-04 08:08:42,11,Nov,2023,Monday,357,19.36,1.84,0,0
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,ATM,44,Engineer,220,1,3846.28,2024-11-04 08:10:18,7,Jul,2023,Tuesday,475,3.47,0.61,0,0
TX000072,AC00053,143.21,2023-01-13 17:00:16,Debit,Dallas,Online,35,Engineer,135,1,6374.82,2024-11-04 08:09:26,1,Jan,2023,Friday,661,2.25,1.06,0,0
TX000073,AC00282,24.77,2023-07-04 18:20:33,Debit,Boston,ATM,62,Retired,55,1,5866.01,2024-11-04 08:12:15,7,Jul,2023,Tuesday,489,0.42,0.45,0,0
TX000074,AC00110,233.92,2023-10-20 16:54:28,Credit,Jacksonville,Online,26,Student,280,1,6537.62,2024-11-04 08:08:45,10,Oct,2023,Friday,381,3.58,0.84,0,0
TX000075,AC00265,1212.51,2023-10-04 16:36:29,Debit,Indianapolis,Branch,20,Student,24,1,605.95,2024-11-04 08:06:51,10,Oct,2023,Wednesday,397,200.1,50.52,1,0
TX000076,AC00239,232.12,2023-12-28 17:31:03,Debit,Omaha,ATM,37,Engineer,51,1,6689.87,2024-11-04 08:09:17,12,Dec,2023,Thursday,312,3.47,4.55,0,0
TX000077,AC00007,162.63,2023-06-12 17:53:52,Debit,Kansas City,Online,22,Student,113,1,634.17,2024-11-04 08:08:22,6,Jun,2023,Monday,511,25.64,1.44,0,0
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,Branch,44,Doctor,69,1,14676.05,2024-11-04 08:11:36,3,Mar,2023,Monday,602,0.62,1.33,0,0
TX000079,AC00464,120.29,2023-12-18 18:46:27,Debit,Miami,Branch,19,Student,77,1,1362.39,2024-11-04 08:06:50,12,Dec,2023,Monday,322,8.83,1.56,0,0
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,Online,50,Doctor,67,1,10528.34,2024-11-04 08:10:29,7,Jul,2023,Monday,476,1.66,2.6,0,0
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,ATM,38,Engineer,102,1,552.52,2024-11-04 08:09:51,6,Jun,2023,Monday,504,33.25,1.8,0,0
TX000082,AC00445,345.39,2023-10-23 17:13:57,Credit,Phoenix,Online,58,Engineer,80,1,6451.96,2024-11-04 08:08:16,10,Oct,2023,Monday,378,5.35,4.32,0,0
TX000083,AC00236,922.55,2023-01-23 16:32:48,Debit,Detroit,ATM,63,Retired,87,1,4715.84,2024-11-04 08:11:07,1,Jan,2023,Monday,651,19.56,10.6,1,0
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,Online,49,Doctor,170,1,7176.86,2024-11-04 08:09:38,11,Nov,2023,Monday,364,3.62,1.53,0,0
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,Online,34,Doctor,157,1,1523.72,2024-11-04 08:09:42,7,Jul,2023,Monday,490,10.15,0.99,0,0
TX000086,AC00098,1340.19,2023-09-29 17:22:10,Credit,Austin,Online,54,Engineer,30,1,8654.28,2024-11-04 08:06:53,9,Sep,2023,Friday,402,15.49,44.67,1,0
TX000087,AC00303,24.56,2023-10-20 17:27:35,Debit,Mesa,Branch,64,Doctor,69,1,9869.93,2024-11-04 08:12:05,10,Oct,2023,Friday,381,0.25,0.36,0,0
TX000088,AC00373,568.07,2023-08-28 17:03:53,Debit,Washington,ATM,48,Doctor,115,1,10556.81,2024-11-04 08:07:32,8,Aug,2023,Monday,434,5.38,4.94,0,0
TX000089,AC00438,9.61,2023-06-22 18:37:29,Credit,San Diego,Online,58,Doctor,179,1,12883.91,2024-11-04 08:09:10,6,Jun,2023,Thursday,501,0.07,0.05,0,0
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,Online,24,Student,100,1,791.65,2024-11-04 08:08:38,11,Nov,2023,Monday,350,49.64,3.93,0,0
TX000091,AC00106,716.93,2023-09-14 16:49:33,Credit,Milwaukee,Online,60,Retired,34,1,4064.02,2024-11-04 08:08:12,9,Sep,2023,Thursday,417,17.64,21.09,0,0
TX000092,AC00310,223.85,2023-10-02 16:36:10,Debit,Kansas City,ATM,53,Engineer,55,4,2929.91,2024-11-04 08:08:01,10,Oct,2023,Monday,399,7.64,4.07,0,0
TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,Branch,21,Student,135,1,618.05,2024-11-04 08:10:44,3,Mar,2023,Monday,588,37.32,1.71,0,0
TX000094,AC00373,442.12,2023-12-21 16:37:03,Debit,Los Angeles,Online,19,Student,260,1,1375.8,2024-11-04 08:08:21,12,Dec,2023,Thursday,319,32.14,1.7,0,0
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,ATM,29,Engineer,72,1,1143.52,2024-11-04 08:08:04,3,Mar,2023,Thursday,613,56.33,8.95,0,0
TX000096,AC00010,508.68,2023-06-26 16:16:50,Credit,Mesa,Branch,51,Engineer,127,1,7708.41,2024-11-04 08:09:32,6,Jun,2023,Monday,497,6.6,4.01,0,0
TX000097,AC00348,858.63,2023-04-18 17:27:23,Credit,San Francisco,Branch,27,Student,185,1,1872.96,2024-11-04 08:10:47,4,Apr,2023,Tuesday,566,45.84,4.64,0,0
TX000098,AC00011,25.36,2023-07-17 17:08:24,Debit,Louisville,ATM,57,Engineer,78,1,201.04,2024-11-04 08:11:05,7,Jul,2023,Monday,476,12.61,0.33,0,0
TX000099,AC00453,147.62,2023-09-01 17:26:02,Debit,Charlotte,Branch,71,Retired,133,1,2115.8,2024-11-04 08:07:22,9,Sep,2023,Friday,430,6.98,1.11,0,0
TX000100,AC00178,115.02,2023-09-11 16:19:04,Debit,San Antonio,Branch,37,Doctor,175,1,7643.66,2024-11-04 08:08:38,9,Sep,2023,Monday,420,1.5,0.66,0,0
TX000101,AC00265,383.37,2023-01-24 17:23:56,Debit,Fort Worth,Branch,30,Engineer,24,1,8901.93,2024-11-04 08:11:07,1,Jan,2023,Tuesday,650,4.31,15.97,0,0
TX000102,AC00018,98.54,2023-08-11 16:18:46,Credit,El Paso,Online,20,Student,167,1,9383.43,2024-11-04 08:10:02,8,Aug,2023,Friday,451,1.05,0.59,0,0
TX000103,AC00075,83.24,2023-10-16 18:35:11,Credit,Fort Worth,Branch,55,Doctor,164,1,1181.31,2024-11-04 08:10:52,10,Oct,2023,Monday,385,7.05,0.51,0,0
TX000104,AC00464,196.16,2023-02-24 16:29:23,Debit,Virginia Beach,Branch,27,Engineer,146,1,9418.86,2024-11-04 08:08:32,2,Feb,2023,Friday,619,2.08,1.34,0,0
TX000105,AC00170,129.94,2023-01-02 16:36:02,Debit,Las Vegas,ATM,32,Engineer,235,1,7954.92,2024-11-04 08:06:35,1,Jan,2023,Monday,672,1.63,0.55,0,0
TX000106,AC00235,306.9,2023-11-30 16:31:03,Debit,Colorado Springs,Online,46,Engineer,51,1,9418.08,2024-11-04 08:10:48,11,Nov,2023,Thursday,340,3.26,6.02,0,0
TX000107,AC00013,114.98,2023-11-01 16:52:01,Debit,Seattle,Online,59,Retired,80,1,6144.68,2024-11-04 08:09:24,11,Nov,2023,Wednesday,369,1.87,1.44,0,0
TX000108,AC00397,756.59,2023-03-06 16:47:02,Debit,Sacramento,Branch,27,Student,17,1,420.65,2024-11-04 08:11:40,3,Mar,2023,Monday,609,179.86,44.51,0,0
TX000109,AC00423,503.76,2023-11-27 18:32:49,Debit,Los Angeles,Online,22,Student,35,1,447.82,2024-11-04 08:09:22,11,Nov,2023,Monday,343,112.49,14.39,0,0
TX000110,AC00154,143.03,2023-07-31 16:37:46,Debit,San Antonio,ATM,63,Retired,147,1,7981.45,2024-11-04 08:10:42,7,Jul,2023,Monday,462,1.79,0.97,0,0
TX000111,AC00068,1045.22,2023-11-22 16:13:39,Debit,Columbus,ATM,53,Retired,73,1,1829.9,2024-11-04 08:07:35,11,Nov,2023,Wednesday,348,57.12,14.32,1,0
TX000112,AC00318,245.54,2023-03-21 16:29:31,Debit,New York,ATM,25,Student,180,1,985.06,2024-11-04 08:10:26,3,Mar,2023,Tuesday,594,24.93,1.36,0,0
TX000113,AC00396,254.37,2023-04-20 18:26:50,Credit,Dallas,Online,51,Engineer,174,1,8849.26,2024-11-04 08:06:56,4,Apr,2023,Thursday,564,2.87,1.46,0,0
TX000114,AC00121,213.76,2023-03-01 17:52:14,Credit,Dallas,ATM,78,Retired,282,1,3528.72,2024-11-04 08:09:36,3,Mar,2023,Wednesday,614,6.06,0.76,0,0
TX000115,AC00336,327.86,2023-02-10 16:52:48,Debit,Fresno,Online,40,Engineer,104,1,480.16,2024-11-04 08:06:30,2,Feb,2023,Friday,633,68.28,3.15,0,0
TX000116,AC00468,2.5,2023-07-21 16:43:11,Debit,San Diego,Online,47,Doctor,107,1,12145.27,2024-11-04 08:09:53,7,Jul,2023,Friday,472,0.02,0.02,0,0
TX000117,AC00282,300.08,2023-10-09 17:02:43,Credit,Austin,Online,68,Doctor,47,1,13546.75,2024-11-04 08:12:18,10,Oct,2023,Monday,392,2.22,6.38,0,0
TX000118,AC00498,56.98,2024-01-01 16:34:10,Credit,Oklahoma City,ATM,43,Engineer,122,2,5688.37,2024-11-04 08:07:42,1,Jan,2024,Monday,308,1.0,0.47,0,0
TX000119,AC00085,407.65,2023-07-07 16:11:38,Debit,Boston,Online,26,Engineer,62,1,8346.64,2024-11-04 08:06:30,7,Jul,2023,Friday,486,4.88,6.57,0,0
TX000120,AC00092,115.83,2023-05-22 17:09:52,Debit,Fresno,Branch,39,Engineer,167,1,6481.04,2024-11-04 08:10:02,5,May,2023,Monday,532,1.79,0.69,0,0
TX000121,AC00295,53.57,2023-08-16 16:17:12,Debit,Houston,ATM,69,Retired,121,1,1651.33,2024-11-04 08:08:43,8,Aug,2023,Wednesday,446,3.24,0.44,0,0
TX000122,AC00358,63.34,2023-11-17 16:02:02,Credit,Detroit,Online,46,Doctor,165,1,11174.94,2024-11-04 08:10:13,11,Nov,2023,Friday,353,0.57,0.38,0,0
TX000123,AC00311,317.87,2023-05-22 17:29:35,Debit,Detroit,Online,27,Student,91,1,145.5,2024-11-04 08:11:32,5,May,2023,Monday,532,218.47,3.49,0,0
TX000124,AC00066,331.65,2023-08-25 17:26:07,Debit,Portland,Online,41,Engineer,61,1,4172.57,2024-11-04 08:11:00,8,Aug,2023,Friday,437,7.95,5.44,0,0
TX000125,AC00340,5.04,2023-11-27 16:38:34,Debit,Washington,ATM,56,Retired,41,1,5558.36,2024-11-04 08:10:48,11,Nov,2023,Monday,343,0.09,0.12,0,0
TX000126,AC00284,214.54,2023-08-04 17:46:44,Credit,Detroit,Online,70,Doctor,247,1,11151.53,2024-11-04 08:11:56,8,Aug,2023,Friday,458,1.92,0.87,0,0
TX000127,AC00208,598.81,2023-09-04 16:48:35,Debit,Philadelphia,Branch,57,Doctor,158,1,1415.52,2024-11-04 08:10:13,9,Sep,2023,Monday,427,42.3,3.79,0,0
TX000128,AC00176,841.28,2023-08-09 17:34:26,Debit,Tucson,Online,26,Student,80,1,1103.64,2024-11-04 08:09:58,8,Aug,2023,Wednesday,453,76.23,10.52,0,0
TX000129,AC00053,38.15,2023-09-07 16:07:40,Debit,Mesa,Online,26,Student,108,1,303.68,2024-11-04 08:07:42,9,Sep,2023,Thursday,424,12.56,0.35,0,0
TX000130,AC00320,1036.66,2023-07-11 16:39:53,Debit,San Antonio,Branch,58,Doctor,144,1,5541.57,2024-11-04 08:09:24,7,Jul,2023,Tuesday,482,18.71,7.2,1,0
TX000131,AC00382,124.72,2023-07-03 17:14:07,Debit,Oklahoma City,Branch,33,Engineer,105,1,6309.8,2024-11-04 08:07:25,7,Jul,2023,Monday,490,1.98,1.19,0,0
TX000132,AC00384,302.45,2023-09-25 17:13:36,Credit,San Antonio,Branch,78,Retired,40,1,5133.61,2024-11-04 08:11:55,9,Sep,2023,Monday,406,5.89,7.56,0,0
TX000133,AC00203,208.04,2023-11-20 17:10:02,Debit,Louisville,Online,47,Engineer,273,1,9344.98,2024-11-04 08:08:45,11,Nov,2023,Monday,350,2.23,0.76,0,0
TX000134,AC00498,5.77,2023-11-17 17:27:07,Credit,Los Angeles,Branch,23,Student,254,1,1117.97,2024-11-04 08:10:53,11,Nov,2023,Friday,353,0.52,0.02,0,0
TX000135,AC00349,381.33,2023-08-21 16:46:05,Debit,Albuquerque,ATM,56,Doctor,75,1,11835.35,2024-11-04 08:09:32,8,Aug,2023,Monday,441,3.22,5.08,0,0
TX000136,AC00177,16.16,2023-10-16 16:59:36,Debit,Milwaukee,ATM,50,Doctor,124,1,14401.17,2024-11-04 08:11:59,10,Oct,2023,Monday,385,0.11,0.13,0,0
TX000137,AC00284,486.08,2023-06-20 17:21:50,Debit,Oklahoma City,Online,18,Student,68,1,1748.69,2024-11-04 08:07:03,6,Jun,2023,Tuesday,503,27.8,7.15,0,0
TX000138,AC00272,336.39,2023-01-16 16:53:38,Debit,San Antonio,Branch,21,Student,18,1,1000.46,2024-11-04 08:09:57,1,Jan,2023,Monday,658,33.62,18.69,0,0
TX000139,AC00405,997.43,2023-11-22 16:07:19,Debit,Seattle,Online,69,Doctor,118,1,6810.05,2024-11-04 08:08:25,11,Nov,2023,Wednesday,348,14.65,8.45,1,0
TX000140,AC00385,234.57,2023-09-01 16:09:08,Debit,Chicago,Online,23,Student,120,1,263.98,2024-11-04 08:08:47,9,Sep,2023,Friday,430,88.86,1.95,0,0
TX000141,AC00403,6.0,2023-10-23 18:38:15,Debit,Chicago,Online,30,Doctor,246,1,5442.76,2024-11-04 08:09:43,10,Oct,2023,Monday,378,0.11,0.02,0,0
TX000142,AC00114,1049.92,2023-10-23 16:50:33,Debit,Detroit,ATM,80,Retired,21,1,2037.85,2024-11-04 08:10:34,10,Oct,2023,Monday,378,51.52,50.0,1,0
